EMPLOYER_CANONICAL,total_filings,mba_relevant_filings,certified,new_position_share,median_annual_wage,any_willful_violator,any_h1b_dependent,mba_share
Capital Research and Management Company,16,14,1.0,0.5,225600.0,False,False,0.875
"DHL Express (USA), Inc.",16,14,1.0,0.875,96590.0,False,False,0.875
"Flexi-Van Leasing, LLC",16,14,1.0,0.25,108675.06,False,False,0.875
INGRASYS TECHNOLOGY USA INC.,16,14,1.0,1.0,67500.0,False,False,0.875
"Paraform, Inc.",16,14,1.0,0.9375,146500.0,False,False,0.875
Strategic Advisers LLC d/b/a Fidelity Investments,16,14,1.0,0.6875,125237.0,False,False,0.875
"BlackRock Institutional Trust Company, N.A.",47,41,0.9787234042553191,0.46808510638297873,170700.0,False,False,0.8723404255319149
Turner Construction Company,160,139,1.0,0.58125,95000.0,False,False,0.86875
"GroupM Worldwide, LLC",189,164,1.0,0.3544973544973545,103000.0,False,False,0.8677248677248677
Zenith LifeScience LLC,30,26,1.0,0.7,95680.0,False,False,0.8666666666666667
"BHATIA & CO, INC, CPAS",15,13,1.0,0.3333333333333333,92456.0,False,False,0.8666666666666667
"Cerberus Capital Management, L.P.",15,13,1.0,0.4666666666666667,141000.0,False,False,0.8666666666666667
Citrin Cooperman Advisors LLC,15,13,1.0,0.8,92356.0,False,False,0.8666666666666667
EDP Renewables North America LLC,15,13,1.0,0.4,65645.0,False,False,0.8666666666666667
EMEC CONSULTING GROUP INC,15,13,1.0,0.9333333333333333,60320.0,False,False,0.8666666666666667
"Judlau Contracting, Inc.",15,13,1.0,0.5333333333333333,101878.0,False,False,0.8666666666666667
"Wood Mackenzie, Inc.",15,13,1.0,0.4666666666666667,140767.055,False,False,0.8666666666666667
Admerasia Inc.,22,19,1.0,0.7727272727272727,65000.0,False,False,0.8636363636363636
Eisner Advisory Group LLC,22,19,1.0,0.45454545454545453,128800.0,False,False,0.8636363636363636
NETSTAR (US) INC.,22,19,1.0,0.7727272727272727,99512.0,False,False,0.8636363636363636
"WIN.IT America, Inc.",36,31,1.0,0.8611111111111112,65000.0,False,False,0.8611111111111112
"Centerview Partners, LLC",14,12,1.0,0.5,225000.0,False,False,0.8571428571428571
Eldridge Capital Management Services LLC,14,12,1.0,0.7857142857142857,150000.0,False,False,0.8571428571428571
